Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades 
507435,KHODAY,XT,88.1,91.55,87.9,90.5,79,0.07,13
500202,INDLEASE,X,5.61,6.14,5.61,6.14,1251,0.07,10
524534,BHASKAGR,XT,69.6,69.6,66.35,66.35,111,0.07,3
524632,SHUKRAPHAR,X,68.9,68.9,68.9,68.9,98,0.07,13
523116,SANCTRN,X,740,740,740,740,10,0.07,1
523620,PHRMASI,XT,26.25,27.45,26.15,26.15,260,0.07,9
531635,SILVOAK,X,42.85,42.85,39.9,40,181,0.07,13
531650,VAXHS,Z,1.39,1.39,1.3,1.39,5027,0.07,17
532701,CELLA,Z,9.3,9.3,8.87,9.25,723,0.07,12
532350,PADMALAYAT,Z,2.1,2.2,2.1,2.2,3062,0.07,5
543357,AXISCETF,B,74.16,74.16,74.15,74.15,92,0.07,3
543710,ICICICOMMO,B,56.25,56.4,55.61,55.99,121,0.07,12
534639,VINAYAKPOL,X,16.3,16.3,16.3,16.3,408,0.07,5
532998,LEHIL,T,66.75,69.95,66.75,69.95,106,0.07,4
540679,SMSLIFE,B,573.65,579.7,561,567.9,13,0.07,13
542206,NIVAKA,X,3.63,3.63,3.33,3.39,1869,0.06,31
541503,UNICK,XT,44.2,48.4,44.2,48.4,128,0.06,5
532744,GTNTEX,X,11.85,12.29,11.8,11.9,543,0.06,10
532745,INDICAP,X,29,29,28.25,28.95,225,0.06,14
538596,QUANTBUILD,X,3.56,3.91,3.21,3.91,1527,0.06,7
539012,MEGRISOFT,X,113.6,113.6,104.75,112.8,58,0.06,9
543473,HEALTHY,B,7.77,8.05,7.69,7.9,702,0.06,68
531668,VISIONCO,X,1.76,1.81,1.76,1.81,3264,0.06,6
531834,NATHUEC,X,5.45,5.45,5.45,5.45,1012,0.06,4
530879,CIFL,X,88,88,85,87.1,72,0.06,9
531283,CINDRELL,XT,11.3,11.3,10.83,10.83,530,0.06,10
531246,PRIMAIN,XT,16.8,16.8,16.8,16.8,350,0.06,5
523387,TRITON,XT,0.34,0.35,0.34,0.34,16044,0.06,8
523710,SAYAJIHOTL,XT,359,359,340.05,340.05,16,0.06,5
526193,ROYALCU,XT,12.05,12.35,11.74,12.34,501,0.06,15
524614,INDXTRA,XT,84.45,84.45,80.3,80.5,72,0.06,6
524624,GAGAN,X,12.2,12.2,11.21,11.21,538,0.06,17
524210,PNTKYOR,XT,22.05,22.05,22.05,22.05,268,0.06,3
530713,AJEL,Z,8.35,8.59,8.35,8.35,679,0.06,12
530271,RICHUNV,X,4.88,4.88,4.88,4.88,1200,0.06,2
526574,ENTRINT,X,20.95,20.95,17.7,20.05,306,0.06,16
526532,SFPIL,X,11.65,11.65,11.65,11.65,530,0.06,3
526761,HOWARHO,XT,8.06,8.06,8.06,8.06,785,0.06,8
526737,CORPOCO,X,5.63,5.82,5.63,5.82,1064,0.06,10
527005,SHREEPAC,XT,112.7,112.7,112.7,112.7,54,0.06,4
500142,FGP,X,6.15,6.4,6.12,6.12,905,0.06,11
504397,GANHOLD,XT,52.95,53,48.15,48.2,115,0.06,6
